


yyyy/mmdd(or -ddd)/hh.h):2020/-339/ 0.0UT  geog Lat/Long/Alt= 56.0/  44.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  60180.7   NmF1=      0.0   NmE=   1792.4
Peak Heights/km:     hmF2=   278.57   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.4
Dip (Magnetic Inclination)/degree                      71.84
Modip (Modified Dip)/degree                            59.19
Solar Sunspot Number (12-months running mean) Rz12     10.3           
Ionospheric-Effective Solar Index IG12                  0.1           
Solar radio flux F10.7 (daily)                         93.0           
Solar radio flux F10.7 (81-day average)                83.4           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 600.0    8651  0.144   674  1161  1855 644  26 295  35   0   0  -1   1.5  78
 610.0    8184  0.136   674  1162  1911 594  28 340  37   0   0  -1   1.5  78
 620.0    7751  0.129   674  1164  1966 542  30 389  39   0   0  -1   1.5  78
 630.0    7348  0.122   674  1166  2022 489  31 439  41   0   0  -1   1.5  78
 640.0    6974  0.116   674  1168  2078 436  33 490  42   0   0  -1   1.5  78
 650.0    6626  0.110   674  1170  2133 383  34 540  43   0   0  -1   1.5  78
 660.0    6301  0.105   674  1171  2189 334  34 589  43   0   0  -1   1.5  78
 670.0    5998  0.100   674  1173  2245 288  34 634  43   0   0  -1   1.5  78
 680.0    5716  0.095   674  1175  2301 247  34 677  42   0   0  -1   1.5  78
 690.0    5452  0.091   674  1177  2356 210  34 714  41   0   0  -1   1.5  78
 700.0    5204  0.086   674  1179  2412 179  33 747  40   0   0  -1   1.5  78
 710.0    4973  0.083   674  1180  2468 153  33 776  39   0   0  -1   1.5  78
 720.0    4756  0.079   674  1182  2523 132  32 799  38   0   0  -1   1.5  78
 730.0    4552  0.076   674  1184  2579 115  31 817  37   0   0  -1   1.5  78
 740.0    4361  0.072   674  1186  2634 102  31 831  36   0   0  -1   1.5  78
 750.0    4181  0.069   674  1188  2690  93  30 842  35   0   0  -1   1.5  78
 760.0    4011  0.067   674  1189  2745  87  30 849  35   0   0  -1   1.5  78
 770.0    3852  0.064   674  1191  2800  82  29 854  34   0   0  -1   1.5  78
 780.0    3702  0.062   674  1193  2854  79  29 857  34   0   0  -1   1.5  78
 790.0    3560  0.059   674  1195  2907  77  29 860  34   0   0  -1   1.5  78
 800.0    3426  0.057   674  1197  2959  75  29 861  34   0   0  -1   1.5  78
 810.0    3299  0.055   674  1198  3009  74  29 862  35   0   0  -1   1.5  78
